seed,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
40,53,4893413.430904767,89853.12243755537,106402.96136616453,776945.630913947,1363665.6333950232,933517.5751522722,23579.691498744287,77572.85587239706,1438652.8691808097,83223.09108785524,17,12,23,15,29,19,24,134,97,40,8.390284866422112,8.14758285368541,8.31148562837676,7.980518378975273,7.632851228059723,8.923079589828028,8.37184125373411,8.550189424496375,7.459035366711511,8.835230448070792,7.9092401708214615,8.314787206673635,8.155631980054892,53,TRUE,7
40,55,3682213.1511344705,216935.3938653448,76093.50018019421,864105.524800289,209229.04946274747,127314.2813227908,511285.1743872721,159018.68931477875,1394379.623677061,123851.91412399404,24,17,17,15,17,26,19,141,116,40,8.105908734501586,8.613016075609126,7.920008657481099,8.333040871963732,8.70481330227136,7.495436503993969,8.073442670144061,7.700534046067016,8.40215534341957,8.326553019717105,8.034186976631815,8.225140070617197,8.327940544716386,55,TRUE,7
40,57,5802616.852861748,28405.768750622545,1743100.1853417002,1656164.5305799583,420428.33728313004,105522.89310033286,70378.79081262305,234408.7579447992,1386733.8617010121,157473.72734756963,17,28,24,12,14,16,25,134,142,40,8.56070376065279,9.694851504700287,8.961731338498936,8.264715362328284,8.381012557227924,9.13137599527638,8.804442920912972,8.002078442711282,8.431682807681513,8.568996783704437,9.497356866775846,8.913989503464464,9.138379793287756,57,TRUE,8
40,59,4746397.453513525,21278.474142887604,862660.3017852429,1368743.098253639,295891.7280807655,371455.5637251242,42464.67231650792,152105.21827402347,1451988.0930959594,179810.303839375,11,26,23,17,17,15,22,135,153,40,8.35978066277743,9.146020055228226,7.956569276152527,9.020984077263018,8.540796225538877,8.239060715998093,8.243934959012115,8.615271331720065,8.17353320321235,7.779220886555656,8.269829210354438,8.488215312384702,8.829871540925627,59,TRUE,8
40,61,3932720.368081366,36547.525472725174,50355.13781325434,636951.8895771476,981335.577713461,429448.74397144193,89399.30295805496,48646.1446193136,1453464.1922530043,206571.85370295704,17,15,22,27,14,17,15,140,155,40,8.17172615536034,7.4658915856408745,7.576916310587989,8.31292099570576,8.90579946930575,8.743572573508583,7.394337905646171,8.420209905637703,8.821311065003927,8.378262812246353,7.4978670700518455,8.306928091761382,7.860212509141172,61,TRUE,8
40,63,4058273.8028394342,42929.46751246752,65244.69642915636,1463612.639869466,264798.3398864105,492142.8900708041,34424.49850758643,44548.15707834316,1505276.0543964799,145297.05908871975,18,13,15,17,29,23,12,137,159,40,8.203152474812406,7.926962277254002,7.709988436836866,7.2088218358393625,8.062419521677311,7.911279412127331,9.016036998588229,8.122825945761189,8.701356187012209,8.411730047340065,7.641992765766787,8.201187107783058,7.658040576116717,63,TRUE,8
40,65,4408708.071549608,35970.6429582117,1671158.2918600542,347938.84314596804,362945.4550710546,155262.47097993369,30539.230270003496,146312.72811770893,1514395.084485747,144185.32466092193,5,13,16,12,17,27,16,144,148,40,8.285976455566432,7.900739134192782,9.675340081145038,7.659576953303276,8.283974826865416,9.03000002207905,8.719067859169524,8.739733256306385,8.022699291543725,8.53681319595133,8.72190212918204,8.694486203383367,8.841220403904616,65,TRUE,9
40,67,5899543.496133351,17408.816403945497,32654.517476895482,3964501.6152213197,79226.18637364145,78847.140228109085,40469.032781645554,35294.804703287504,1564236.5719881183,86904.8109563866,13,5,12,11,15,25,12,152,140,40,8.577269737705777,8.568074913738773,8.228866669670001,8.836185488744922,9.080608688895653,7.721300675757632,7.546491499038266,8.09748880055771,8.087101236092478,7.888395026183392,8.058956352952558,8.323296978524814,8.574661773409117,67,TRUE,9
40,69,2615948.2832237515,83309.00251532283,84843.69983063001,106195.70372701676,56209.13681012847,201547.25826350934,433350.60223625007,11685.325588105141,1555448.9101932077,83358.64405958065,7,6,7,6,16,15,17,137,140,40,7.764021427313965,7.508807096105728,6.981190500984132,8.337119555557864,7.168563774189204,6.970023832769892,7.647381841151072,7.205519184537012,7.8222772976946215,7.194421263776016,7.762600564453658,7.552713530972058,7.765891153062388,69,TRUE,9
40,71,2844686.3193721287,7812.163074023583,108476.09873453545,163575.56910154995,782575.606094812,61190.074714801296,18995.754429564215,11330.332610534178,1577679.1622430398,113051.5583692664,11,8,5,8,10,10,7,144,140,40,7.847847568012673,7.614861758313847,7.087488923912375,7.377114726823244,8.104919108089426,7.5302826421275055,8.181534701309333,7.146821312157449,7.357719057760848,7.089348908856404,7.321846055041263,7.5560674020047305,7.38274282862547,71,TRUE,10
